
(2321, [0, 1, 2, 3, 4], 5.710278437026215e-05)
(2321, [0, 1, 2, 3, 4], 5.421556493567792e-05)
(2321, [0, 1, 2, 3, 4], 9.335342838090455e-05)
(2321, [0, 1, 2, 3, 4], 5.549877357324817e-05)
(2321, [0, 1, 2, 3, 4], 9.559904349654147e-05)
(2321, [0, 1, 2, 3, 4], 6.801005778900304e-05)
(2321, [0, 1, 2, 3, 4], 8.084214416470559e-05)
(2321, [0, 1, 2, 3, 4], 8.084214416470559e-05)
(2321, [0, 1, 2, 3, 4], 6.672684915187688e-05)
(2321, [0, 1, 2, 3, 4], 9.431583485763895e-05)
(2321, [0, 1, 2, 3, 4], 0.00011163915146545634)
(2321, [0, 1, 2, 3, 4], 8.340856143970875e-05)
(2321, [0, 1, 2, 3, 4], 9.752385645258255e-05)
(2321, [0, 1, 2, 3, 4], 8.372936359909225e-05)
(2321, [0, 1, 2, 3, 4], 8.244615496155828e-05)
