final_cost=3928 | time=0.4700345993041992 | route=[6, 13, 2, 3, 5, 4, 11, 12, 7, 8, 9, 10, 0, 1] | tabu_value=3 | iter_number=1000
final_cost=4593 | time=0.51548171043396 | route=[1, 2, 13, 12, 7, 0, 8, 9, 10, 5, 6, 4, 11, 3] | tabu_value=3 | iter_number=1000
final_cost=4851 | time=0.5009074211120605 | route=[1, 0, 9, 8, 10, 7, 5, 13, 4, 2, 3, 12, 11, 6] | tabu_value=3 | iter_number=1000
final_cost=5436 | time=0.5009860992431641 | route=[1, 0, 7, 10, 4, 13, 8, 9, 12, 3, 2, 5, 6, 11] | tabu_value=3 | iter_number=1000
final_cost=4395 | time=0.5155453681945801 | route=[9, 8, 10, 12, 13, 5, 4, 3, 2, 1, 0, 7, 6, 11] | tabu_value=3 | iter_number=1000
final_cost=4094 | time=0.5160238742828369 | route=[8, 9, 1, 0, 7, 13, 2, 3, 6, 12, 5, 4, 11, 10] | tabu_value=3 | iter_number=1000
final_cost=4943 | time=0.5226693153381348 | route=[2, 3, 13, 12, 6, 0, 7, 1, 4, 5, 11, 9, 8, 10] | tabu_value=3 | iter_number=1000
final_cost=3795 | time=0.5000050067901611 | route=[6, 4, 5, 11, 13, 12, 10, 8, 9, 0, 7, 1, 2, 3] | tabu_value=3 | iter_number=1000
final_cost=3991 | time=0.5197033882141113 | route=[6, 13, 11, 5, 4, 12, 0, 9, 8, 10, 7, 1, 2, 3] | tabu_value=3 | iter_number=1000
final_cost=4415 | time=0.5317776203155518 | route=[9, 1, 6, 12, 2, 13, 3, 11, 4, 5, 8, 10, 7, 0] | tabu_value=3 | iter_number=1000
final_cost=4397 | time=0.5240273475646973 | route=[5, 11, 6, 12, 13, 3, 4, 7, 1, 0, 8, 10, 9, 2] | tabu_value=3 | iter_number=1000
final_cost=3557 | time=0.5152108669281006 | route=[13, 3, 11, 5, 4, 6, 12, 7, 0, 10, 8, 9, 1, 2] | tabu_value=3 | iter_number=1000
final_cost=5262 | time=0.5163507461547852 | route=[11, 5, 4, 7, 0, 8, 6, 13, 3, 2, 12, 1, 10, 9] | tabu_value=3 | iter_number=1000
final_cost=4179 | time=0.5311543941497803 | route=[5, 11, 4, 3, 2, 6, 13, 0, 9, 1, 8, 10, 7, 12] | tabu_value=3 | iter_number=1000
final_cost=4877 | time=0.5488710403442383 | route=[3, 4, 12, 0, 9, 7, 1, 13, 2, 11, 5, 6, 10, 8] | tabu_value=3 | iter_number=1000
final_cost=3721 | time=0.5152528285980225 | route=[0, 1, 9, 8, 10, 12, 6, 4, 5, 11, 2, 3, 13, 7] | tabu_value=3 | iter_number=1000
final_cost=3845 | time=0.5591175556182861 | route=[10, 9, 8, 0, 7, 12, 4, 3, 5, 11, 6, 13, 2, 1] | tabu_value=3 | iter_number=1000
final_cost=3757 | time=0.49227452278137207 | route=[5, 4, 3, 13, 2, 0, 7, 1, 10, 8, 9, 12, 6, 11] | tabu_value=3 | iter_number=1000
final_cost=4416 | time=0.4843778610229492 | route=[6, 12, 2, 7, 8, 1, 0, 9, 10, 13, 4, 3, 5, 11] | tabu_value=3 | iter_number=1000
final_cost=4268 | time=0.4843723773956299 | route=[9, 10, 0, 7, 1, 13, 2, 11, 5, 12, 3, 4, 6, 8] | tabu_value=3 | iter_number=1000
final_cost=4307 | time=0.4687504768371582 | route=[13, 2, 3, 6, 5, 4, 11, 12, 9, 0, 10, 7, 8, 1] | tabu_value=3 | iter_number=1000
final_cost=4146 | time=0.5000097751617432 | route=[3, 4, 5, 11, 6, 10, 7, 1, 9, 8, 0, 13, 12, 2] | tabu_value=3 | iter_number=1000
final_cost=4233 | time=0.49999332427978516 | route=[1, 0, 9, 10, 7, 13, 5, 2, 3, 11, 4, 6, 12, 8] | tabu_value=3 | iter_number=1000
final_cost=4477 | time=0.4999678134918213 | route=[0, 1, 9, 10, 8, 7, 12, 2, 11, 3, 13, 4, 5, 6] | tabu_value=3 | iter_number=1000
final_cost=3465 | time=0.4999997615814209 | route=[8, 9, 0, 7, 1, 13, 2, 3, 11, 5, 4, 6, 12, 10] | tabu_value=3 | iter_number=1000
final_cost=4046 | time=0.484375 | route=[11, 5, 3, 4, 6, 12, 8, 1, 9, 10, 0, 7, 13, 2] | tabu_value=3 | iter_number=1000
final_cost=4954 | time=0.5156204700469971 | route=[7, 1, 9, 8, 10, 6, 12, 2, 13, 0, 4, 11, 5, 3] | tabu_value=3 | iter_number=1000
final_cost=3742 | time=0.5312538146972656 | route=[1, 2, 13, 6, 4, 3, 5, 11, 12, 7, 8, 10, 9, 0] | tabu_value=3 | iter_number=1000
final_cost=3981 | time=0.49999499320983887 | route=[2, 13, 6, 5, 11, 4, 3, 12, 1, 0, 10, 8, 9, 7] | tabu_value=3 | iter_number=1000
final_cost=4935 | time=0.46875667572021484 | route=[4, 6, 12, 8, 10, 3, 2, 5, 11, 13, 1, 0, 9, 7] | tabu_value=3 | iter_number=1000
final_cost=4224 | time=0.484372615814209 | route=[3, 4, 11, 2, 1, 8, 10, 7, 9, 0, 12, 13, 6, 5] | tabu_value=3 | iter_number=1000
final_cost=4770 | time=0.4843735694885254 | route=[7, 0, 10, 8, 9, 1, 5, 12, 13, 6, 2, 11, 4, 3] | tabu_value=3 | iter_number=1000
final_cost=4319 | time=0.46872663497924805 | route=[7, 1, 0, 10, 9, 8, 5, 4, 6, 12, 11, 3, 13, 2] | tabu_value=3 | iter_number=1000
final_cost=4651 | time=0.4843776226043701 | route=[12, 10, 7, 13, 2, 1, 0, 8, 9, 5, 6, 11, 3, 4] | tabu_value=3 | iter_number=1000
final_cost=4157 | time=0.4843716621398926 | route=[7, 10, 8, 9, 1, 0, 12, 5, 3, 2, 11, 4, 6, 13] | tabu_value=3 | iter_number=1000
final_cost=3761 | time=0.4999711513519287 | route=[0, 1, 7, 9, 10, 8, 12, 6, 13, 11, 5, 4, 3, 2] | tabu_value=3 | iter_number=1000
final_cost=4911 | time=0.484407901763916 | route=[5, 4, 3, 13, 2, 9, 7, 10, 8, 12, 11, 6, 1, 0] | tabu_value=3 | iter_number=1000
final_cost=4463 | time=0.4843745231628418 | route=[6, 4, 3, 2, 13, 1, 0, 9, 7, 11, 5, 12, 10, 8] | tabu_value=3 | iter_number=1000
final_cost=4803 | time=0.4843564033508301 | route=[8, 10, 9, 1, 5, 3, 2, 13, 12, 7, 0, 6, 4, 11] | tabu_value=3 | iter_number=1000
final_cost=4012 | time=0.5000157356262207 | route=[2, 3, 5, 11, 4, 6, 7, 8, 10, 9, 0, 1, 13, 12] | tabu_value=3 | iter_number=1000
final_cost=4005 | time=0.5155947208404541 | route=[12, 6, 2, 5, 11, 4, 3, 13, 0, 7, 10, 8, 9, 1] | tabu_value=3 | iter_number=1000
final_cost=3977 | time=0.484403133392334 | route=[2, 4, 6, 13, 1, 0, 7, 9, 8, 10, 12, 11, 5, 3] | tabu_value=3 | iter_number=1000
final_cost=4435 | time=0.4843776226043701 | route=[12, 6, 11, 5, 7, 1, 8, 10, 0, 9, 2, 13, 3, 4] | tabu_value=3 | iter_number=1000
final_cost=4854 | time=0.4843790531158447 | route=[11, 6, 12, 1, 0, 7, 5, 4, 2, 3, 13, 9, 8, 10] | tabu_value=3 | iter_number=1000
final_cost=5246 | time=0.4843769073486328 | route=[0, 7, 10, 11, 4, 6, 13, 9, 8, 1, 5, 3, 2, 12] | tabu_value=3 | iter_number=1000
final_cost=4552 | time=0.48433780670166016 | route=[7, 12, 1, 0, 8, 10, 9, 4, 3, 2, 13, 6, 11, 5] | tabu_value=3 | iter_number=1000
final_cost=4518 | time=0.4844043254852295 | route=[1, 0, 7, 3, 5, 13, 2, 4, 6, 11, 12, 10, 9, 8] | tabu_value=3 | iter_number=1000
final_cost=3891 | time=0.48438262939453125 | route=[4, 5, 11, 3, 2, 13, 6, 7, 10, 9, 8, 0, 1, 12] | tabu_value=3 | iter_number=1000
final_cost=4221 | time=0.49996447563171387 | route=[8, 10, 7, 0, 1, 2, 3, 4, 12, 13, 11, 6, 5, 9] | tabu_value=3 | iter_number=1000
final_cost=3919 | time=0.5156254768371582 | route=[11, 5, 4, 6, 12, 1, 0, 10, 9, 7, 8, 13, 2, 3] | tabu_value=3 | iter_number=1000
final_cost=4492 | time=0.5312831401824951 | route=[12, 13, 2, 5, 11, 6, 0, 1, 7, 10, 9, 8, 3, 4] | tabu_value=3 | iter_number=1000
final_cost=5148 | time=0.5155935287475586 | route=[7, 6, 0, 1, 2, 3, 13, 12, 10, 8, 9, 5, 11, 4] | tabu_value=3 | iter_number=1000
final_cost=4717 | time=0.5156540870666504 | route=[8, 9, 7, 1, 0, 10, 5, 6, 11, 4, 12, 13, 2, 3] | tabu_value=3 | iter_number=1000
final_cost=4266 | time=0.4843788146972656 | route=[1, 0, 2, 3, 5, 4, 12, 13, 11, 6, 7, 8, 10, 9] | tabu_value=3 | iter_number=1000
final_cost=4394 | time=0.48436999320983887 | route=[12, 7, 1, 2, 3, 6, 10, 8, 9, 0, 13, 11, 5, 4] | tabu_value=3 | iter_number=1000
final_cost=4180 | time=0.46875500679016113 | route=[5, 11, 13, 6, 12, 4, 3, 2, 7, 9, 10, 8, 0, 1] | tabu_value=3 | iter_number=1000
final_cost=4576 | time=0.4999687671661377 | route=[7, 1, 0, 8, 9, 10, 2, 3, 12, 6, 11, 13, 4, 5] | tabu_value=3 | iter_number=1000
final_cost=3938 | time=0.515657901763916 | route=[11, 5, 4, 13, 2, 3, 0, 1, 7, 9, 8, 10, 12, 6] | tabu_value=3 | iter_number=1000
final_cost=5641 | time=0.4843630790710449 | route=[6, 12, 5, 13, 3, 8, 1, 4, 11, 2, 0, 10, 9, 7] | tabu_value=3 | iter_number=1000
final_cost=3970 | time=0.5312767028808594 | route=[1, 9, 10, 8, 7, 13, 6, 12, 4, 5, 11, 3, 2, 0] | tabu_value=3 | iter_number=1000
final_cost=4681 | time=0.4687337875366211 | route=[1, 0, 12, 6, 5, 11, 2, 7, 8, 9, 10, 13, 3, 4] | tabu_value=3 | iter_number=1000
