final_cost=42 | time=0.010048627853393555 | route=[1, 8, 16, 7, 3, 4, 15, 14, 6, 5, 10, 9, 12, 11, 0, 2, 13] | tabu_value=3 | iter_number=10
final_cost=56 | time=0.010523080825805664 | route=[16, 7, 8, 12, 2, 13, 1, 5, 14, 6, 11, 0, 10, 9, 15, 4, 3] | tabu_value=3 | iter_number=10
final_cost=41 | time=0.012507438659667969 | route=[4, 3, 6, 16, 7, 8, 10, 12, 1, 9, 13, 2, 0, 11, 14, 5, 15] | tabu_value=3 | iter_number=10
final_cost=84 | time=0.011518478393554688 | route=[4, 3, 16, 8, 7, 6, 5, 14, 15, 0, 11, 2, 13, 12, 1, 9, 10] | tabu_value=3 | iter_number=10
final_cost=81 | time=0.012501716613769531 | route=[0, 11, 1, 9, 16, 7, 8, 10, 13, 2, 12, 5, 15, 14, 6, 4, 3] | tabu_value=3 | iter_number=10
final_cost=57 | time=0.010998725891113281 | route=[0, 2, 13, 11, 6, 5, 4, 3, 7, 16, 8, 1, 10, 12, 9, 15, 14] | tabu_value=3 | iter_number=10
final_cost=39 | time=0.012998819351196289 | route=[7, 16, 8, 12, 9, 1, 10, 2, 13, 11, 0, 15, 14, 6, 5, 4, 3] | tabu_value=3 | iter_number=10
final_cost=60 | time=0.012998819351196289 | route=[0, 7, 8, 3, 4, 6, 5, 15, 16, 12, 10, 9, 1, 13, 2, 11, 14] | tabu_value=3 | iter_number=10
final_cost=52 | time=0.011000633239746094 | route=[16, 8, 11, 6, 5, 15, 14, 3, 4, 7, 10, 13, 2, 0, 9, 12, 1] | tabu_value=3 | iter_number=10
final_cost=57 | time=0.011499404907226562 | route=[8, 12, 10, 14, 4, 3, 6, 9, 1, 13, 2, 11, 0, 15, 5, 16, 7] | tabu_value=3 | iter_number=10
final_cost=47 | time=0.01102137565612793 | route=[9, 6, 4, 3, 15, 5, 14, 7, 8, 16, 11, 12, 1, 10, 13, 2, 0] | tabu_value=3 | iter_number=10
final_cost=42 | time=0.01102447509765625 | route=[4, 3, 6, 15, 16, 7, 8, 1, 2, 13, 12, 9, 10, 11, 0, 14, 5] | tabu_value=3 | iter_number=10
final_cost=46 | time=0.011996030807495117 | route=[9, 6, 4, 3, 15, 14, 5, 11, 0, 13, 2, 12, 10, 16, 8, 7, 1] | tabu_value=3 | iter_number=10
final_cost=87 | time=0.011520624160766602 | route=[4, 3, 8, 16, 7, 14, 5, 15, 6, 12, 13, 2, 11, 0, 1, 10, 9] | tabu_value=3 | iter_number=10
final_cost=112 | time=0.011498451232910156 | route=[13, 2, 10, 1, 12, 9, 6, 15, 5, 11, 0, 16, 7, 8, 14, 4, 3] | tabu_value=3 | iter_number=10
final_cost=45 | time=0.011511802673339844 | route=[4, 3, 6, 14, 15, 5, 7, 11, 0, 10, 1, 12, 2, 13, 9, 16, 8] | tabu_value=3 | iter_number=10
final_cost=65 | time=0.010999202728271484 | route=[16, 7, 9, 12, 1, 10, 14, 15, 6, 5, 4, 3, 8, 0, 11, 2, 13] | tabu_value=3 | iter_number=10
final_cost=63 | time=0.010498762130737305 | route=[10, 1, 15, 5, 6, 11, 13, 0, 14, 3, 4, 16, 8, 7, 9, 2, 12] | tabu_value=3 | iter_number=10
final_cost=61 | time=0.010535001754760742 | route=[9, 10, 8, 7, 4, 3, 16, 12, 1, 13, 2, 0, 6, 14, 5, 15, 11] | tabu_value=3 | iter_number=10
final_cost=40 | time=0.010500192642211914 | route=[1, 10, 7, 8, 16, 4, 3, 6, 15, 14, 5, 0, 11, 9, 12, 13, 2] | tabu_value=3 | iter_number=10
final_cost=72 | time=0.011544942855834961 | route=[2, 13, 1, 10, 6, 4, 15, 12, 5, 3, 14, 11, 0, 16, 7, 8, 9] | tabu_value=3 | iter_number=10
final_cost=99 | time=0.011998176574707031 | route=[9, 13, 2, 12, 10, 1, 14, 5, 6, 3, 15, 0, 11, 16, 7, 8, 4] | tabu_value=3 | iter_number=10
final_cost=94 | time=0.011499643325805664 | route=[2, 13, 10, 9, 1, 12, 16, 8, 7, 6, 15, 3, 4, 5, 0, 11, 14] | tabu_value=3 | iter_number=10
final_cost=55 | time=0.011032581329345703 | route=[12, 9, 13, 2, 0, 11, 15, 3, 4, 8, 7, 16, 1, 10, 14, 6, 5] | tabu_value=3 | iter_number=10
final_cost=78 | time=0.011000394821166992 | route=[3, 4, 15, 14, 6, 5, 7, 16, 8, 12, 10, 2, 13, 11, 0, 1, 9] | tabu_value=3 | iter_number=10
