final_cost=2610 | time=0.09453296661376953 | route=[22, 32, 8, 13, 21, 19, 17, 25, 24, 23, 15, 16, 30, 6, 4, 5, 26, 27, 29, 1, 33, 7, 9, 10, 0, 2, 3, 14, 12, 11, 31, 18, 20, 28] | tabu_value=3 | iter_number=10
final_cost=2418 | time=0.09453368186950684 | route=[32, 1, 3, 33, 30, 2, 25, 16, 14, 24, 21, 23, 26, 29, 15, 0, 27, 28, 22, 20, 31, 9, 6, 5, 10, 11, 8, 7, 12, 13, 17, 18, 19, 4] | tabu_value=3 | iter_number=10
final_cost=2518 | time=0.09550714492797852 | route=[19, 20, 26, 29, 22, 9, 13, 23, 24, 17, 8, 12, 10, 11, 31, 18, 21, 27, 14, 16, 32, 7, 6, 33, 30, 28, 0, 25, 1, 3, 2, 5, 4, 15] | tabu_value=3 | iter_number=10
final_cost=2400 | time=0.09448122978210449 | route=[2, 5, 29, 26, 18, 19, 31, 17, 20, 22, 24, 23, 21, 27, 25, 13, 12, 1, 0, 3, 33, 30, 4, 6, 32, 9, 10, 11, 7, 8, 15, 16, 14, 28] | tabu_value=3 | iter_number=10
final_cost=2377 | time=0.09603023529052734 | route=[27, 4, 6, 5, 30, 33, 29, 25, 3, 13, 15, 16, 1, 2, 18, 19, 31, 17, 11, 10, 14, 12, 8, 9, 0, 20, 21, 22, 32, 7, 26, 28, 24, 23] | tabu_value=3 | iter_number=10
final_cost=2102 | time=0.09700798988342285 | route=[20, 22, 1, 33, 30, 25, 14, 12, 11, 31, 19, 13, 24, 23, 26, 27, 28, 29, 0, 16, 15, 2, 3, 9, 18, 17, 7, 4, 5, 6, 32, 8, 10, 21] | tabu_value=3 | iter_number=10
final_cost=2614 | time=0.09803295135498047 | route=[13, 20, 21, 14, 0, 25, 27, 1, 3, 15, 16, 12, 10, 9, 28, 26, 29, 30, 33, 4, 7, 8, 17, 11, 31, 18, 19, 32, 5, 6, 2, 24, 23, 22] | tabu_value=3 | iter_number=10
final_cost=2412 | time=0.0930325984954834 | route=[1, 23, 19, 20, 27, 28, 25, 17, 18, 11, 10, 0, 26, 22, 21, 31, 9, 14, 24, 29, 2, 3, 7, 8, 16, 15, 6, 5, 30, 33, 13, 12, 32, 4] | tabu_value=3 | iter_number=10
final_cost=2249 | time=0.09453535079956055 | route=[15, 6, 5, 4, 16, 24, 23, 17, 12, 1, 33, 2, 3, 30, 29, 14, 26, 22, 20, 27, 28, 25, 0, 13, 21, 19, 31, 18, 9, 10, 32, 7, 8, 11] | tabu_value=3 | iter_number=10
final_cost=2194 | time=0.09349894523620605 | route=[7, 5, 6, 4, 1, 3, 33, 30, 2, 0, 32, 13, 15, 14, 16, 12, 24, 17, 19, 31, 11, 8, 9, 25, 28, 29, 27, 21, 20, 26, 22, 23, 10, 18] | tabu_value=3 | iter_number=10
final_cost=2447 | time=0.09253501892089844 | route=[21, 20, 27, 14, 32, 0, 1, 22, 29, 16, 24, 23, 31, 19, 17, 18, 11, 10, 12, 13, 33, 2, 3, 15, 8, 7, 4, 5, 6, 9, 25, 26, 28, 30] | tabu_value=3 | iter_number=10
final_cost=2407 | time=0.0925300121307373 | route=[26, 33, 16, 0, 13, 2, 3, 30, 28, 29, 22, 23, 10, 12, 1, 24, 21, 19, 17, 8, 9, 25, 14, 15, 32, 6, 5, 4, 7, 11, 31, 18, 27, 20] | tabu_value=3 | iter_number=10
